day,never_R,once_R,monthly_R,biweekly_R,weekly_R,every_3d_R,daily_R,never_decay,once_decay,monthly_decay,biweekly_decay,weekly_decay,every_3d_decay,daily_decay
0,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000
1,0.581272,0.727827,0.727827,0.727827,0.727827,0.727827,0.727827,0.020000,0.014983,0.014983,0.014983,0.014983,0.014983,0.014983
2,0.562893,0.712335,0.712335,0.712335,0.712335,0.712335,0.813018,0.020000,0.014983,0.014983,0.014983,0.014983,0.014983,0.012203
3,0.544872,0.696993,0.696993,0.696993,0.696993,0.696993,0.869913,0.020000,0.014983,0.014983,0.014983,0.014983,0.014983,0.010481
4,0.527217,0.681806,0.681806,0.681806,0.681806,0.793174,0.907966,0.020000,0.014983,0.014983,0.014983,0.014983,0.011988,0.009306
5,0.509933,0.666780,0.666780,0.666780,0.666780,0.780364,0.933484,0.020000,0.014983,0.014983,0.014983,0.014983,0.011988,0.008437
6,0.493026,0.651922,0.651922,0.651922,0.651922,0.767630,0.950673,0.020000,0.014983,0.014983,0.014983,0.014983,0.011988,0.007751
7,0.476500,0.637237,0.637237,0.637237,0.637237,0.840734,0.962332,0.020000,0.014983,0.014983,0.014983,0.014983,0.010045,0.007182
8,0.460359,0.622730,0.622730,0.622730,0.754774,0.829812,0.970318,0.020000,0.014983,0.014983,0.014983,0.011578,0.010045,0.006692
9,0.444605,0.608405,0.608405,0.608405,0.742637,0.818932,0.975863,0.020000,0.014983,0.014983,0.014983,0.011578,0.010045,0.006259
10,0.429240,0.594268,0.594268,0.594268,0.730580,0.875262,0.979779,0.020000,0.014983,0.014983,0.014983,0.011578,0.008693,0.005871
11,0.414265,0.580322,0.580322,0.580322,0.718607,0.865722,0.982605,0.020000,0.014983,0.014983,0.014983,0.011578,0.008693,0.005518
12,0.399679,0.566572,0.566572,0.566572,0.706721,0.856207,0.984698,0.020000,0.014983,0.014983,0.014983,0.011578,0.008693,0.005195
13,0.385482,0.553021,0.553021,0.553021,0.694926,0.900367,0.986293,0.020000,0.014983,0.014983,0.014983,0.011578,0.007694,0.004898
14,0.371672,0.539672,0.539672,0.539672,0.683223,0.891880,0.987544,0.020000,0.014983,0.014983,0.014983,0.011578,0.007694,0.004624
15,0.358247,0.526527,0.526527,0.692243,0.786550,0.883410,0.988557,0.020000,0.014983,0.014983,0.010937,0.009259,0.007694,0.004369
16,0.345204,0.513591,0.513591,0.681212,0.776705,0.918721,0.989400,0.020000,0.014983,0.014983,0.010937,0.009259,0.006918,0.004133
17,0.332540,0.500864,0.500864,0.670267,0.766906,0.911070,0.990119,0.020000,0.014983,0.014983,0.010937,0.009259,0.006918,0.003913
18,0.320250,0.488349,0.488349,0.659411,0.757154,0.903428,0.990746,0.020000,0.014983,0.014983,0.010937,0.009259,0.006918,0.003708
19,0.308331,0.476047,0.476047,0.648644,0.747450,0.932269,0.991302,0.020000,0.014983,0.014983,0.010937,0.009259,0.006292,0.003518
20,0.296777,0.463960,0.463960,0.637969,0.737797,0.925299,0.991801,0.020000,0.014983,0.014983,0.010937,0.009259,0.006292,0.003340
21,0.285582,0.452089,0.452089,0.627388,0.728197,0.918337,0.992254,0.020000,0.014983,0.014983,0.010937,0.009259,0.006292,0.003174
22,0.274742,0.440434,0.440434,0.616904,0.817122,0.942399,0.992669,0.020000,0.014983,0.014983,0.010937,0.007643,0.005770,0.003019
23,0.264250,0.428997,0.428997,0.606517,0.808902,0.936003,0.993050,0.020000,0.014983,0.014983,0.010937,0.007643,0.005770,0.002875
24,0.254100,0.417777,0.417777,0.596230,0.800709,0.929611,0.993403,0.020000,0.014983,0.014983,0.010937,0.007643,0.005770,0.002740
25,0.244285,0.406775,0.406775,0.586044,0.792544,0.950097,0.993730,0.020000,0.014983,0.014983,0.010937,0.007643,0.005325,0.002614
26,0.234797,0.395990,0.395990,0.575960,0.784407,0.944192,0.994035,0.020000,0.014983,0.014983,0.010937,0.007643,0.005325,0.002495
27,0.225631,0.385421,0.385421,0.565981,0.776300,0.938291,0.994318,0.020000,0.014983,0.014983,0.010937,0.007643,0.005325,0.002385
28,0.216779,0.375069,0.375069,0.556106,0.768224,0.956056,0.994582,0.020000,0.014983,0.014983,0.010937,0.007643,0.004938,0.002282
29,0.208233,0.364932,0.364932,0.705120,0.844117,0.950579,0.994828,0.020000,0.014983,0.014983,0.008149,0.006483,0.004938,0.002185
30,0.199987,0.355009,0.355009,0.696847,0.837087,0.945105,0.995058,0.020000,0.014983,0.014983,0.008149,0.006483,0.004938,0.002095
31,0.192032,0.345299,0.574444,0.688619,0.830073,0.960762,0.995273,0.020000,0.014983,0.009837,0.008149,0.006483,0.004597,0.002010
32,0.184361,0.335800,0.565489,0.680438,0.823077,0.955663,0.995475,0.020000,0.014983,0.009837,0.008149,0.006483,0.004597,0.001930
33,0.176966,0.326511,0.556618,0.672304,0.816098,0.950566,0.995663,0.020000,0.014983,0.009837,0.008149,0.006483,0.004597,0.001856
34,0.169841,0.317430,0.547834,0.664218,0.809138,0.964557,0.995839,0.020000,0.014983,0.009837,0.008149,0.006483,0.004294,0.001787
35,0.162976,0.308555,0.539136,0.656181,0.802197,0.959794,0.996004,0.020000,0.014983,0.009837,0.008149,0.006483,0.004294,0.001721
36,0.156366,0.299884,0.530526,0.648195,0.866929,0.955033,0.996158,0.020000,0.014983,0.009837,0.008149,0.005622,0.004294,0.001660
37,0.150001,0.291415,0.522004,0.640259,0.860798,0.967679,0.996302,0.020000,0.014983,0.009837,0.008149,0.005622,0.004022,0.001603
38,0.143875,0.283144,0.513571,0.632375,0.854677,0.963218,0.996438,0.020000,0.014983,0.009837,0.008149,0.005622,0.004022,0.001550
39,0.137981,0.275071,0.505228,0.624543,0.848567,0.958760,0.996564,0.020000,0.014983,0.009837,0.008149,0.005622,0.004022,0.001499
40,0.132311,0.267192,0.496976,0.616765,0.842469,0.970297,0.996683,0.020000,0.014983,0.009837,0.008149,0.005622,0.003776,0.001452
41,0.126859,0.259505,0.488814,0.609041,0.836383,0.966110,0.996794,0.020000,0.014983,0.009837,0.008149,0.005622,0.003776,0.001408
42,0.121616,0.252007,0.480743,0.601371,0.830309,0.961924,0.996899,0.020000,0.014983,0.009837,0.008149,0.005622,0.003776,0.001367
43,0.116577,0.244695,0.472763,0.735942,0.885761,0.972531,0.996996,0.020000,0.014983,0.009837,0.006298,0.004964,0.003553,0.001328
44,0.111734,0.237567,0.464876,0.729440,0.880328,0.968592,0.997088,0.020000,0.014983,0.009837,0.006298,0.004964,0.003553,0.001292
45,0.107080,0.230619,0.457081,0.722963,0.874902,0.964654,0.997174,0.020000,0.014983,0.009837,0.006298,0.004964,0.003553,0.001258
46,0.102610,0.223848,0.449378,0.716510,0.869483,0.974466,0.997254,0.020000,0.014983,0.009837,0.006298,0.004964,0.003349,0.001226
47,0.098317,0.217251,0.441768,0.710083,0.864072,0.970753,0.997329,0.020000,0.014983,0.009837,0.006298,0.004964,0.003349,0.001196
48,0.094195,0.210826,0.434251,0.703683,0.858669,0.967041,0.997400,0.020000,0.014983,0.009837,0.006298,0.004964,0.003349,0.001168
49,0.090237,0.204569,0.426826,0.697308,0.853275,0.976164,0.997466,0.020000,0.014983,0.009837,0.006298,0.004964,0.003163,0.001142
50,0.086438,0.198478,0.419495,0.690961,0.901128,0.972658,0.997528,0.020000,0.014983,0.009837,0.006298,0.004445,0.003163,0.001117
51,0.082792,0.192548,0.412256,0.684641,0.896251,0.969153,0.997586,0.020000,0.014983,0.009837,0.006298,0.004445,0.003163,0.001094
52,0.079293,0.186777,0.405111,0.678349,0.891379,0.977671,0.997641,0.020000,0.014983,0.009837,0.006298,0.004445,0.002993,0.001072
53,0.075936,0.181161,0.398058,0.672085,0.886512,0.974354,0.997692,0.020000,0.014983,0.009837,0.006298,0.004445,0.002993,0.001052
54,0.072717,0.175698,0.391097,0.665850,0.881651,0.971038,0.997739,0.020000,0.014983,0.009837,0.006298,0.004445,0.002993,0.001033
55,0.069628,0.170385,0.384230,0.659644,0.876795,0.979020,0.997784,0.020000,0.014983,0.009837,0.006298,0.004445,0.002836,0.001015
56,0.066667,0.165217,0.377454,0.653468,0.871945,0.975877,0.997826,0.020000,0.014983,0.009837,0.006298,0.004445,0.002836,0.001000
57,0.063827,0.160193,0.370771,0.770759,0.913616,0.972735,0.997865,0.020000,0.014983,0.009837,0.005058,0.004025,0.002836,0.001000
58,0.061104,0.155308,0.364180,0.765450,0.909193,0.980236,0.997890,0.020000,0.014983,0.009837,0.005058,0.004025,0.002692,0.001000
59,0.058494,0.150560,0.357679,0.760155,0.904773,0.977253,0.997906,0.020000,0.014983,0.009837,0.005058,0.004025,0.002692,0.001000
60,0.055992,0.145946,0.351270,0.754874,0.900357,0.974271,0.997916,0.020000,0.014983,0.009837,0.005058,0.004025,0.002692,0.001000
